1	24.00	17.00	35.90
2	24.00	29.16	35.90
3	24.00	41.32	35.90
4	24.00	53.47	35.90
5	24.00	65.63	35.90
6	24.00	77.79	35.90
7	24.00	89.95	35.90
8	24.00	102.11	35.90
9	24.00	114.26	35.90
10	24.00	126.42	35.90
11	24.00	138.58	35.90
12	24.00	150.74	35.90
13	24.00	162.89	35.90
14	24.00	175.05	35.90
15	24.00	187.21	35.90
16	24.00	199.37	35.90
17	24.00	211.53	35.90
18	24.00	223.68	35.90
19	24.00	235.84	35.90
20	24.00	248.00	35.90
21	24.00	260.16	35.90
22	24.00	272.32	35.90
23	24.00	284.47	35.90
24	24.00	296.63	35.90
25	24.00	308.79	35.90
26	24.00	320.95	35.90
27	24.00	333.11	35.90
28	24.00	345.26	35.90
29	24.00	357.42	35.90
30	24.00	369.58	35.90
31	36.13	17.00	35.90
32	36.13	29.16	35.90
33	36.13	41.32	35.90
34	36.13	53.47	35.90
35	36.13	65.63	35.90
36	36.13	77.79	35.90
37	36.13	89.95	35.90
38	36.13	102.11	35.90
39	36.13	114.26	35.90
40	36.13	126.42	35.90
41	36.13	138.58	35.90
42	36.13	150.74	35.90
43	36.13	162.89	35.90
44	36.13	175.05	35.90
45	36.13	187.21	35.90
46	36.13	199.37	35.90
47	36.13	211.53	35.90
48	36.13	223.68	35.90
49	36.13	235.84	35.90
50	36.13	248.00	35.90
51	36.13	260.16	35.90
52	36.13	272.32	35.90
53	36.13	284.47	35.90
54	36.13	296.63	35.90
55	36.13	308.79	35.90
56	36.13	320.95	35.90
57	36.13	333.11	35.90
58	36.13	345.26	35.90
59	36.13	357.42	35.90
60	36.13	369.58	35.90
61	48.25	17.00	35.90
62	48.25	29.16	35.90
63	48.25	41.32	35.90
64	48.25	53.47	35.90
65	48.25	65.63	35.90
66	48.25	77.79	35.90
67	48.25	89.95	35.90
68	48.25	102.11	35.90
69	48.25	114.26	35.90
70	48.25	126.42	35.90
71	48.25	138.58	35.90
72	48.25	150.74	35.90
73	48.25	162.89	35.90
74	48.25	175.05	35.90
75	48.25	187.21	35.90
76	48.25	199.37	35.90
77	48.25	211.53	35.90
78	48.25	223.68	35.90
